Ticker,,,,,
stock,AAPL,AMZN,GOOG,MSFT,NFLX
Date,,,,,
2018-11-16,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-19,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-20,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-21,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-23,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-26,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-27,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-28,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-29,Neutral,Neutral,Neutral,Neutral,Bearish
2018-11-30,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-03,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-04,Neutral,Neutral,Bearish,Neutral,Bearish
2018-12-06,Neutral,Neutral,Bearish,Neutral,Bearish
2018-12-07,Neutral,Neutral,Bearish,Neutral,Bearish
2018-12-10,Neutral,Neutral,Bearish,Neutral,Bearish
2018-12-11,Neutral,Neutral,Bearish,Neutral,Bearish
2018-12-12,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-13,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-14,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-17,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-18,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-19,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-20,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-21,Neutral,Neutral,Neutral,Neutral,Bearish
2018-12-24,Neutral,Neutral,Neutral,Bearish,Bearish
2018-12-26,Neutral,Neutral,Bearish,Bearish,Bullish
2018-12-27,Neutral,Neutral,Bearish,Bearish,Bullish
2018-12-28,Neutral,Neutral,Bearish,Bearish,Bullish
2018-12-31,Neutral,Neutral,Bearish,Bearish,Bullish
2019-01-02,Neutral,Neutral,Bearish,Bearish,Bearish
2019-01-03,Neutral,Neutral,Bearish,Bearish,Bearish
2019-01-04,Neutral,Neutral,Bearish,Bearish,Bearish
2019-01-07,Neutral,Neutral,Bearish,Bearish,Bearish
2019-01-08,Neutral,Neutral,Bearish,Bearish,Bearish
2019-01-09,Neutral,Neutral,Bearish,Bearish,Bearish
2019-01-10,Bearish,Bearish,Neutral,Neutral,Bearish
2019-01-11,Bearish,Bearish,Neutral,Neutral,Bearish
2019-01-14,Bearish,Bearish,Neutral,Neutral,Bearish
2019-01-15,Bullish,Bullish,Neutral,Neutral,Bearish
2019-01-16,Bearish,Bearish,Neutral,Neutral,Bearish
2019-01-17,Bearish,Bearish,Neutral,Neutral,Bearish
2019-01-18,Bearish,Bearish,Neutral,Neutral,Bearish
2019-01-22,Bearish,Neutral,Neutral,Neutral,Bearish
2019-01-23,Bearish,Neutral,Neutral,Neutral,Bearish
2019-01-24,Bearish,Neutral,Neutral,Neutral,Bearish
2019-01-25,Neutral,Neutral,Neutral,Neutral,Bearish
2019-01-28,Neutral,Neutral,Neutral,Neutral,Bearish
2019-01-29,Neutral,Neutral,Neutral,Neutral,Bearish
2019-01-30,Neutral,Neutral,Neutral,Neutral,Bearish
2019-01-31,Neutral,Neutral,Neutral,Neutral,Bearish
2019-02-01,Neutral,Neutral,Neutral,Neutral,Bearish
2019-02-04,Neutral,Neutral,Neutral,Neutral,Bearish
2019-02-05,Neutral,Neutral,Neutral,Neutral,Neutral
2019-02-06,Bearish,Neutral,Neutral,Neutral,Neutral
2019-02-07,Bearish,Neutral,Neutral,Neutral,Neutral
2019-02-08,Bearish,Bearish,Neutral,Neutral,Neutral
2019-02-11,Bearish,Bearish,Neutral,Bullish,Neutral
2019-02-12,Bearish,Bullish,Neutral,Bullish,Bearish
2019-02-13,Bearish,Bearish,Bullish,Bullish,Bearish
2019-02-14,Bearish,Bearish,Bullish,Bullish,Bearish
2019-02-15,Bearish,Bearish,Bullish,Bullish,Bearish
2019-02-19,Bearish,Bullish,Bullish,Bullish,Bearish
2019-02-20,Bearish,Bearish,Bullish,Bullish,Neutral
2019-02-21,Bearish,Bearish,Bullish,Bullish,Neutral
2019-02-22,Bearish,Bullish,Bullish,Bullish,Neutral
2019-02-25,Bearish,Bullish,Bullish,Bullish,Neutral
2019-02-26,Bearish,Bullish,Bullish,Bullish,Neutral
2019-02-27,Bearish,Bullish,Bullish,Bullish,Neutral
2019-02-28,Bearish,Bullish,Bullish,Bullish,Neutral
2019-03-01,Bearish,Bullish,Bullish,Bullish,Neutral
2019-03-04,Bearish,Bullish,Bullish,Bullish,Neutral
2019-03-05,Bearish,Bearish,Bullish,Bullish,Neutral
2019-03-06,Bearish,Bearish,Bullish,Bullish,Neutral
2019-03-07,Bearish,Bearish,Bullish,Bullish,Neutral
2019-03-08,Bearish,Bearish,Bullish,Bullish,Neutral
2019-03-11,Bullish,Bullish,Bullish,Bullish,Neutral
2019-03-12,Bearish,Bearish,Bullish,Bullish,Neutral
2019-03-13,Bearish,Bearish,Bullish,Bullish,Neutral
2019-03-14,Bearish,Bearish,Bullish,Bullish,Neutral
2019-03-15,Bearish,Bullish,Bullish,Bullish,Neutral
2019-03-18,Bearish,Bullish,Bullish,Bullish,Neutral
2019-03-19,Bearish,Bullish,Bullish,Bullish,Neutral
2019-03-20,Bearish,Bullish,Bullish,Bullish,Bearish
2019-03-21,Neutral,Bullish,Bullish,Bullish,Bearish
2019-03-22,Neutral,Bearish,Neutral,Neutral,Bearish
2019-03-25,Neutral,Bearish,Neutral,Neutral,Bearish
2019-03-26,Neutral,Bearish,Neutral,Neutral,Bearish
2019-03-27,Neutral,Bearish,Bullish,Neutral,Bearish
2019-03-28,Bearish,Bearish,Bullish,Bullish,Neutral
2019-03-29,Bearish,Bullish,Bullish,Bullish,Neutral
2019-04-01,Bearish,Bullish,Bullish,Bullish,Neutral
2019-04-02,Bearish,Bearish,Bullish,Bullish,Neutral
2019-04-03,Bearish,Bullish,Bullish,Bullish,Neutral
2019-04-04,Bearish,Bearish,Bullish,Bullish,Neutral
2019-04-05,Bearish,Bullish,Bullish,Bullish,Neutral
2019-04-08,Bearish,Bullish,Bullish,Bullish,Neutral
2019-04-09,Bearish,Bearish,Bullish,Bullish,Neutral
2019-04-10,Bearish,Bullish,Bullish,Bullish,Neutral
2019-04-11,Bearish,Bearish,Bullish,Bullish,Neutral
2019-04-12,Bearish,Bullish,Bullish,Bullish,Bearish
2019-04-15,Bearish,Bullish,Bullish,Bullish,Bearish
2019-04-16,Bearish,Bullish,Bullish,Bullish,Bearish
2019-04-17,Bearish,Bullish,Bullish,Bullish,Bearish
2019-04-18,Bearish,Bullish,Bullish,Bullish,Bearish
2019-04-22,Bearish,Bullish,Bullish,Bullish,Bearish
2019-04-23,Bearish,Bullish,Bullish,Bullish,Bearish
2019-04-24,Bearish,Bearish,Bullish,Bullish,Bearish
2019-04-25,Bearish,Bearish,Bullish,Neutral,Bearish
2019-04-26,Bearish,Bullish,Bullish,Neutral,Bearish
2019-04-29,Bearish,Bearish,Bullish,Neutral,Neutral
2019-04-30,Bearish,Bearish,Bearish,Neutral,Neutral
2019-05-01,Neutral,Bearish,Bearish,Neutral,Neutral
2019-05-02,Neutral,Bearish,Bearish,Neutral,Neutral
2019-05-03,Neutral,Bullish,Bearish,Neutral,Neutral
2019-05-06,Neutral,Bearish,Bearish,Neutral,Neutral
2019-05-07,Neutral,Bearish,Neutral,Neutral,Neutral
2019-05-08,Bearish,Bearish,Neutral,Neutral,Neutral
2019-05-09,Bearish,Bearish,Neutral,Neutral,Neutral
2019-05-10,Bearish,Bearish,Neutral,Neutral,Neutral
2019-05-13,Neutral,Bearish,Neutral,Neutral,Neutral
2019-05-14,Neutral,Bullish,Neutral,Neutral,Neutral
2019-05-15,Neutral,Bullish,Neutral,Neutral,Neutral
2019-05-16,Neutral,Bullish,Neutral,Neutral,Neutral
2019-05-17,Neutral,Bearish,Neutral,Neutral,Neutral
2019-05-20,Neutral,Bearish,Neutral,Neutral,Neutral
2019-05-21,Neutral,Bearish,Neutral,Neutral,Neutral
2019-05-22,Neutral,Bearish,Bullish,Bullish,Neutral
2019-05-23,Neutral,Bearish,Bullish,Bullish,Neutral
2019-05-24,Bearish,Bearish,Bullish,Bullish,Neutral
2019-05-28,Bearish,Bullish,Bullish,Bullish,Neutral
2019-05-29,Bearish,Bearish,Bullish,Bullish,Neutral
